TargetName,TL (m),Lat,Lon,E,N,SonarDateTime,,Pass
ATS090821_46_19,2.9,38.542998,-75.76219,433577.8,4266339.9,9/8/2021 17:31,,2
ATS091521_26_15,1.5,38.65997,-75.79333,430976.4,4279342.7,9/15/2021 14:30,,1
ATS091521_24_19 (nadir),1.9,38.63278,-75.81716,428876.2,4276343.7,9/15/2021 13:58,,1
ATS091521_23_20,2,38.62985,-75.81972,428650.2,4276020.5,9/15/2021 13:55,,1
ATS091521_21_19,1.9,38.61062,-75.82316,428332,4273889.9,9/15/2021 13:40,,1
ATS091521_20_23,2.3,38.60137,-75.82206,428418.1,4272861.8,9/15/2021 13:30,,1
ATS091521_19_19,1.9,38.6012,-75.82123,428490.5,4272842.3,9/15/2021 13:29,,1
ATS091521_18_26 (nadir),2.6,38.59567,-75.81302,429199.8,4272222.5,9/15/2021 13:21,,1
ATS091521_17_15,1.5,38.59413,-75.81219,429270.6,4272051.5,9/15/2021 13:20,,1
ATS091521_16_16,1.6,38.59401,-75.81213,429276,4272038,9/15/2021 13:20,,1
ATS091521_15_14,1.4,38.59396,-75.81207,429280.4,4272031.8,9/15/2021 13:20,,1
ATS091521_14_18,1.8,38.59079,-75.80584,429820.3,4271675.3,9/15/2021 13:16,,1
ATS091521_13_23,2.3,38.59042,-75.80303,430064.2,4271632.8,9/15/2021 13:14,,1
ATS091521_11_16 (nadir),1.6,38.58726,-75.79803,430497.1,4271277.9,9/15/2021 13:10,,1
ATS091521_10_16,1.6,38.58706,-75.79774,430522.4,4271255,9/15/2021 13:10,,1
ATS091521_09_17 (nadir),1.7,38.5869,-75.79743,430548.7,4271237.4,9/15/2021 13:10,,1
ATS091521_08_15,1.5,38.57484,-75.79173,431033.8,4269895.2,9/15/2021 13:00,,1
ATS091521_06_16,1.6,38.57363,-75.78134,431937.4,4269752.5,9/15/2021 12:53,,1
ATS091521_03_14,1.4,38.56353,-75.77295,432659.6,4268626,9/15/2021 12:43,,1
ATS091521_02_18,1.8,38.56228,-75.77092,432835.2,4268485.5,9/15/2021 12:41,,1
ATS091521_01_15,1.5,38.54928,-75.77406,432549.3,4267045.3,9/15/2021 12:28,,1
ATS091521_28_15,1.5,38.62987,-75.81965,428656.1,4276023,9/15/2021 15:22,,2
ATS091521_29_17,1.7,38.62283,-75.81962,428651.7,4275241.6,9/15/2021 15:28,,2
ATS091521_30_19,1.9,38.60839,-75.82278,428362.8,4273641.8,9/15/2021 15:41,,2
ATS091521_33_17,1.7,38.60747,-75.82325,428320.5,4273540.3,9/15/2021 15:44,,2
ATS091521_31_15,1.5,38.60747,-75.82328,428318.2,4273539.4,9/15/2021 15:44,,2
ATS091521_32_21,2.1,38.60746,-75.82326,428320,4273539,9/15/2021 15:44,,2
ATS091521_34_23 (nadir),2.3,38.60032,-75.81688,428867.8,4272741.5,9/15/2021 15:53,,2
ATS091521_35_15,1.5,38.58922,-75.80216,430138.8,4271498.9,9/15/2021 16:07,,2
ATS091521_36_14,1.4,38.58254,-75.79604,430665.8,4270752.3,9/15/2021 16:14,,2
ATS091521_37_14,1.4,38.58241,-75.79618,430653.3,4270738.2,9/15/2021 16:14,,2
ATS091521_39_18,1.8,38.58077,-75.79605,430663.6,4270555.8,9/15/2021 16:16,,2
ATS091521_41_16,1.6,38.58042,-75.79598,430669,4270517.1,9/15/2021 16:16,,2
ATS091521_42_27,2.7,38.57451,-75.78979,431202.6,4269856.8,9/15/2021 16:23,,2
ATS091521_43_15,1.5,38.57445,-75.78972,431208.7,4269850.5,9/15/2021 16:23,,2
ATS091521_44_24,2.4,38.57307,-75.78062,431999.9,4269689.8,9/15/2021 16:29,,2
ATS091521_45_15,1.5,38.56442,-75.77736,432275.6,4268728,9/15/2021 16:37,,2
ATS091521_46_17,1.7,38.56124,-75.7703,432888.2,4268370.1,9/15/2021 16:43,,2
ATS091521_47_22  (nadir),2.2,38.5579,-75.76761,433119.1,4267997.1,9/15/2021 16:46,,2
ATS091521_48_14,1.4,38.55614,-75.76784,433097.2,4267802,9/15/2021 16:48,,2
ATS091521_49_16,1.6,38.55564,-75.7692,432978.7,4267747.4,9/15/2021 16:49,,2
ATS091521_51_15,1.5,38.54624,-75.76462,433369,4266701.4,9/15/2021 17:03,,2
ATS092221_24_19,1.9,38.650675,-75.809546,429556.1,4278323.6,9/22/2021 14:27,,1
ATS092221_22_15,1.5,38.635494,-75.816388,428945.7,4276644.3,9/22/2021 14:04,,1
ATS092221_21_30,3,38.631231,-75.818967,428717,4276173.2,9/22/2021 13:59,,1
ATS092221_20_14,1.4,38.624323,-75.819245,428686,4275406.9,9/22/2021 13:52,,1
ATS092221_16_20,2,38.623002,-75.819528,428660.1,4275260.5,9/22/2021 13:50,,1
ATS092221_17_24,2.4,38.622989,-75.819575,428656,4275259.1,9/22/2021 13:50,,1
ATS092221_19_14,1.4,38.622053,-75.819541,428658,4275155.2,9/22/2021 13:49,,1
ATS092221_15_28,2.8,38.619881,-75.820147,428603,4274914.7,9/22/2021 13:47,,1
ATS092221_14_14,1.4,38.616666,-75.823104,428342.5,4274560.3,9/22/2021 13:43,,1
ATS092221_13_16,1.6,38.614292,-75.82318,428333.4,4274296.9,9/22/2021 13:41,,1
ATS092221_12_15,1.5,38.612603,-75.823042,428343.8,4274109.3,9/22/2021 13:39,,1
ATS092221_11_20,2,38.611915,-75.822631,428378.9,4274032.7,9/22/2021 13:38,,1
ATS092221_10_22,2.2,38.609463,-75.822605,428378.7,4273760.6,9/22/2021 13:36,,1
ATS092221_09_21,2.1,38.606915,-75.823245,428320.5,4273478.3,9/22/2021 13:33,,1
ATS092221_08_14,1.4,38.605725,-75.823308,428313.8,4273346.3,9/22/2021 13:32,,1
ATS092221_07_22,2.2,38.604669,-75.823807,428269.3,4273229.6,9/22/2021 13:31,,1
ATS092221_06_23,2.3,38.600745,-75.819801,428614.3,4272791,9/22/2021 13:26,,1
ATS092221_05_18,1.8,38.595062,-75.812901,429209.5,4272155,9/22/2021 13:15,,1
ATS092221_04_25,2.5,38.578644,-75.795616,430699,4270320,9/22/2021 12:52,,1
ATS092221_02_17,1.7,38.54492,-75.76312,433498.5,4266553.8,9/22/2021 11:57,,1
ATS092221_01_20,2,38.530109,-75.764494,433365.1,4264911.3,9/22/2021 11:40,,1
ATS092221_25_18,1.8,38.655805,-75.80374,430066.3,4278888.4,9/22/2021 14:54,,2
ATS092221_26_16,1.6,38.648141,-75.813146,429240.3,4278045.2,9/22/2021 15:02,,2
ATS092221_27_28,2.8,38.632523,-75.817408,428854,4276315.4,9/22/2021 15:17,,2
ATS092221_29_17,1.7,38.620544,-75.819627,428649,4274987.8,9/22/2021 15:26,,2
ATS092221_30_17,1.7,38.619176,-75.820245,428593.9,4274836.5,9/22/2021 15:27,,2
ATS092221_31_18,1.8,38.616773,-75.822997,428351.8,4274572.1,9/22/2021 15:29,,2
ATS092221_36_17,1.7,38.614608,-75.823591,428298,4274332.2,9/22/2021 15:32,,2
ATS092221_37_19,1.9,38.614565,-75.823442,428310.9,4274327.4,9/22/2021 15:33,,2
ATS092221_34_20,2,38.614268,-75.823527,428303.2,4274294.4,9/22/2021 15:32,,2
ATS092221_32_19,1.9,38.613931,-75.823139,428336.7,4274256.8,9/22/2021 15:31,,2
ATS092221_33_16,1.6,38.613916,-75.823196,428331.7,4274255.1,9/22/2021 15:31,,2
ATS092221_39_16,1.6,38.613441,-75.823863,428273.2,4274202.9,9/22/2021 15:33,,2
ATS092221_38_19,1.9,38.613423,-75.823847,428274.5,4274200.9,9/22/2021 15:33,,2
ATS092221_40_16,1.6,38.613248,-75.823721,428285.4,4274181.4,9/22/2021 15:34,,2
ATS092221_41_18,1.8,38.601092,-75.818675,428712.6,4272828.6,9/22/2021 15:44,,2
ATS092221_42_21,2.1,38.595401,-75.812417,429251.9,4272192.3,9/22/2021 15:49,,2
ATS092221_43_14,1.4,38.574458,-75.784524,431661.2,4269847.2,9/22/2021 16:13,,2
ATS092221_44_15,1.5,38.558679,-75.768331,433057.1,4268084.3,9/22/2021 16:40,,2
ATS092221_45_14,1.4,38.546076,-75.764756,433356.9,4266683.3,9/22/2021 16:57,,2
ATS092221_46_14,1.4,38.539657,-75.759162,433838.6,4265967,9/22/2021 17:03,,2
ATS092721_27_14,1.4,38.657915,-75.800431,430356.2,4279120,9/27/2021 13:50,,1
ATS092721_26_20,2,38.657903,-75.800478,430352.2,4279118.7,9/27/2021 13:50,,1
ATS092721_23_17,1.7,38.636476,-75.814877,429078.2,4276752.1,9/27/2021 13:26,,1
ATS092721_24_17 (nadir),1.7,38.636463,-75.814599,429102.3,4276750.4,9/27/2021 13:26,,1
ATS092721_22_20,2,38.636416,-75.814986,429068.6,4276745.5,9/27/2021 13:26,,1
